,module_category,component_category,year,month,number_repair,time
0,M1,P02,2006,6,1,-18
1,M1,P02,2006,7,3,-17
2,M1,P02,2006,8,2,-16
3,M1,P02,2006,9,3,-15
4,M1,P02,2006,10,4,-14
5,M1,P02,2006,11,11,-13
6,M1,P02,2006,12,12,-12
7,M1,P02,2007,1,4,-11
8,M1,P02,2007,2,15,-10
9,M1,P02,2007,3,10,-9
10,M1,P02,2007,4,8,-8
11,M1,P02,2007,5,12,-7
12,M1,P02,2007,6,13,-6
13,M1,P02,2007,7,15,-5
14,M1,P02,2007,8,9,-4
15,M1,P02,2007,9,8,-3
16,M1,P02,2007,10,12,-2
17,M1,P02,2007,11,6,-1
18,M1,P02,2007,12,4,0
19,M1,P02,2008,1,6,1
20,M1,P02,2008,2,7,2
21,M1,P02,2008,3,7,3
22,M1,P02,2008,4,5,4
23,M1,P02,2008,5,1,5
24,M1,P02,2008,6,4,6
25,M1,P02,2008,7,1,7
26,M1,P02,2008,9,3,9
27,M1,P02,2008,10,2,10
28,M1,P02,2008,11,2,11
29,M1,P02,2008,12,1,12
30,M1,P02,2009,2,2,14
31,M1,P02,2009,4,1,16
32,M1,P02,2009,5,1,17
33,M1,P04,2006,6,2,-18
34,M1,P04,2006,7,1,-17
35,M1,P04,2006,8,1,-16
36,M1,P04,2006,9,3,-15
37,M1,P04,2006,10,5,-14
38,M1,P04,2006,11,5,-13
39,M1,P04,2006,12,8,-12
40,M1,P04,2007,1,4,-11
41,M1,P04,2007,2,5,-10
42,M1,P04,2007,3,9,-9
43,M1,P04,2007,4,6,-8
44,M1,P04,2007,5,5,-7
45,M1,P04,2007,6,10,-6
46,M1,P04,2007,7,6,-5
47,M1,P04,2007,8,9,-4
48,M1,P04,2007,9,8,-3
49,M1,P04,2007,10,4,-2
50,M1,P04,2007,11,7,-1
51,M1,P04,2007,12,11,0
52,M1,P04,2008,1,13,1
53,M1,P04,2008,2,8,2
54,M1,P04,2008,3,12,3
55,M1,P04,2008,4,11,4
56,M1,P04,2008,5,5,5
57,M1,P04,2008,6,19,6
58,M1,P04,2008,7,8,7
59,M1,P04,2008,8,7,8
60,M1,P04,2008,9,12,9
61,M1,P04,2008,10,15,10
62,M1,P04,2008,11,8,11
