Row Labels,Count of number_repair
M1,784
M2,718
M3,775
M4,1087
P01,9
P02,44
P04,56
P05,48
P06,58
P09,57
P10,5
P11,49
P12,58
P13,47
P15,56
P16,59
2005,11
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2006,12
2007,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2008,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2009,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
P17,48
P19,40
P20,56
P21,57
P22,48
P24,53
P25,42
P26,57
P27,2
P28,51
P30,49
2005,11
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2006,12
2007,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2008,10
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
11,1
12,1
2009,4
3,1
4,1
5,1
12,1
P31,38
M5,849
M6,588
M7,1019
M8,997
M9,998
P01,5
P02,41
P04,47
P05,35
P06,52
P09,52
P10,4
P11,44
P12,52
P13,45
P15,50
P16,52
2005,4
9,1
10,1
11,1
12,1
2006,12
2007,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2008,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2009,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
P17,45
P19,50
P20,52
P21,50
P22,48
P23,1
P24,51
P25,39
P26,49
P27,6
P28,45
P30,44
2005,3
10,1
11,1
12,1
2006,12
2007,12
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
2008,11
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
2009,6
1,1
3,1
4,1
5,1
9,1
11,1
P31,39
(blank),
(blank),
(blank),
(blank),
Grand Total,7815
