,module_category,component_category,year,month,time
0,M1,P02,2010,1,25
1,M1,P02,2010,2,26
2,M1,P02,2010,3,27
3,M1,P02,2010,4,28
4,M1,P02,2010,5,29
5,M1,P02,2010,6,30
6,M1,P02,2010,7,31
7,M1,P02,2010,8,32
8,M1,P02,2010,9,33
9,M1,P02,2010,10,34
10,M1,P02,2010,11,35
11,M1,P02,2010,12,36
12,M1,P02,2011,1,37
13,M1,P02,2011,2,38
14,M1,P02,2011,3,39
15,M1,P02,2011,4,40
16,M1,P02,2011,5,41
17,M1,P02,2011,6,42
18,M1,P02,2011,7,43
19,M1,P04,2010,1,25
20,M1,P04,2010,2,26
21,M1,P04,2010,3,27
22,M1,P04,2010,4,28
23,M1,P04,2010,5,29
24,M1,P04,2010,6,30
25,M1,P04,2010,7,31
26,M1,P04,2010,8,32
27,M1,P04,2010,9,33
28,M1,P04,2010,10,34
29,M1,P04,2010,11,35
30,M1,P04,2010,12,36
31,M1,P04,2011,1,37
32,M1,P04,2011,2,38
33,M1,P04,2011,3,39
34,M1,P04,2011,4,40
35,M1,P04,2011,5,41
36,M1,P04,2011,6,42
37,M1,P04,2011,7,43
38,M1,P05,2010,1,25
39,M1,P05,2010,2,26
40,M1,P05,2010,3,27
41,M1,P05,2010,4,28
42,M1,P05,2010,5,29
43,M1,P05,2010,6,30
44,M1,P05,2010,7,31
45,M1,P05,2010,8,32
46,M1,P05,2010,9,33
47,M1,P05,2010,10,34
48,M1,P05,2010,11,35
49,M1,P05,2010,12,36
50,M1,P05,2011,1,37
51,M1,P05,2011,2,38
52,M1,P05,2011,3,39
53,M1,P05,2011,4,40
54,M1,P05,2011,5,41
55,M1,P05,2011,6,42
56,M1,P05,2011,7,43
57,M1,P06,2010,1,25
58,M1,P06,2010,2,26
59,M1,P06,2010,3,27
60,M1,P06,2010,4,28
61,M1,P06,2010,5,29
62,M1,P06,2010,6,30
63,M1,P06,2010,7,31
64,M1,P06,2010,8,32
65,M1,P06,2010,9,33
66,M1,P06,2010,10,34
67,M1,P06,2010,11,35
68,M1,P06,2010,12,36
69,M1,P06,2011,1,37
70,M1,P06,2011,2,38
71,M1,P06,2011,3,39
72,M1,P06,2011,4,40
73,M1,P06,2011,5,41
74,M1,P06,2011,6,42
75,M1,P06,2011,7,43
76,M1,P09,2010,1,25
77,M1,P09,2010,2,26
78,M1,P09,2010,3,27
79,M1,P09,2010,4,28
80,M1,P09,2010,5,29
81,M1,P09,2010,6,30
82,M1,P09,2010,7,31
83,M1,P09,2010,8,32
84,M1,P09,2010,9,33
85,M1,P09,2010,10,34
86,M1,P09,2010,11,35
87,M1,P09,2010,12,36
88,M1,P09,2011,1,37
89,M1,P09,2011,2,38
90,M1,P09,2011,3,39
